organ,seq_id,target_name,target_full_name,gene_symbol,entrez_gene_id,hgnc_id,selected_models,model_count,mean_nonzero_coefficient,coefficient_direction,model_family,source_commit
Liver,16561-9,Alpha-1B-glycoprotein,Alpha-1B-glycoprotein,A1BG,1,HGNC:5,56,500,0.11037566202740046,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,12423-38,A1CF,APOBEC1 complementation factor,A1CF,29974,HGNC:24086,150,500,-0.16175175135552025,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,8935-22,MRP6,Multidrug resistance-associated protein 6,ABCC6,368,HGNC:57,127,500,0.11330153823101934,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Artery,3280-49,Aggrecan,Aggrecan core protein,ACAN,176,HGNC:319,184,500,0.2291175698573881,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,13563-259,ACBD7,Acyl-CoA-binding domain-containing protein 7,ACBD7,414149,HGNC:17715,145,500,-0.06988473349661696,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,6586-19,ADA11,Disintegrin and metalloproteinase domain-containing protein 11,ADAM11,4185,HGNC:189,215,500,0.1749100793376926,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,7933-75,ADA22,Disintegrin and metalloproteinase domain-containing protein 22,ADAM22,53616,HGNC:201,168,500,-0.17243400505036138,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Intestine,9115-78,ADEC1,ADAM DEC1,ADAMDEC1,27299,HGNC:16299,415,500,0.4363418981558979,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,8285-64,PACA,Pituitary adenylate cyclase-activating polypeptide,ADCYAP1,116,HGNC:241,215,500,-0.17838482826768853,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,8446-4,PACAP-27,Pituitary adenylate cyclase-activating polypeptide 27,ADCYAP1,116,HGNC:241,129,500,0.14247298315569745,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,8450-36,PACAP-38,Pituitary adenylate cyclase-activating polypeptide 38,ADCYAP1,116,HGNC:241,190,500,0.15006826844101415,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,4546-27,EMR2,Adhesion G protein-coupled receptor E2,ADGRE2,30817,HGNC:3337,500,500,0.9420685612517196,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,17396-23,ADH1A,Alcohol dehydrogenase 1A,ADH1A,124,HGNC:249,28,500,0.22798208151624447,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,8325-37,ADH4,Alcohol dehydrogenase 4,ADH4,127,HGNC:252,484,500,-0.5961006094177229,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,18206-18,ADH6,Alcohol dehydrogenase 6,ADH6,130,HGNC:255,495,500,-0.6282361014154532,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Adipose,3554-24,Adiponectin,Adiponectin,ADIPOQ,9370,HGNC:13633,500,500,1.0996048504584242,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Muscle,13998-26,PURA1,Adenylosuccinate synthetase isozyme 1,ADSS1,122622,HGNC:20093,398,500,-0.31003448409843637,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,4763-31,Afamin,Afamin,AFM,173,HGNC:316,168,500,0.2045825351267201,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,14291-53,AGAP2,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",AGAP2,116986,HGNC:16921,496,500,-0.5515795230543253,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Lung,4125-52,sRAGE,"Advanced glycosylation end product-specific receptor, soluble",AGER,177,HGNC:320,49,500,-0.14320122629267767,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,3484-60,Angiotensinogen,Angiotensinogen,AGT,183,HGNC:333,401,500,0.28249757505221307,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,3581-53,a2-HS-Glycoprotein,Alpha-2-HS-glycoprotein,AHSG,197,HGNC:349,500,500,-0.886262286977563,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,2849-49,AIF1,Allograft inflammatory factor 1,AIF1,199,HGNC:352,27,500,-0.05580146245704847,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,13613-23,Adenylate kinase isoenzyme 5,Adenylate kinase isoenzyme 5,AK5,26289,HGNC:365,147,500,0.12574482590829072,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,18397-5,AK1C4,Aldo-keto reductase family 1 member C4,AKR1C4,1109,HGNC:387,23,500,0.11983431171855707,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,18398-1,AK1D1,3-oxo-5-beta-steroid 4-dehydrogenase,AKR1D1,6718,HGNC:388,158,500,0.1970708974068442,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,18380-78,Albumin,Serum albumin,ALB,213,HGNC:399,414,500,0.31818877344922686,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,9876-20,aldolase C,Fructose-bisphosphate aldolase C,ALDOC,230,HGNC:418,500,500,-2.454687908259787,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Intestine,17441-4,"Alkaline phosphatase, intestine",Intestinal-type alkaline phosphatase,ALPI,248,HGNC:437,157,500,0.20356177786195973,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,16926-44,"Alkaline phosphatase, liver","Alkaline phosphatase, tissue-nonspecific isozyme",ALPL,249,HGNC:438,25,500,0.05899868961480861,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Lung,7813-6,"Alkaline phosphatase, placental","Alkaline phosphatase, placental type",ALPP,250,HGNC:439,55,500,-0.14588676830566216,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,15453-3,a1-Microglobulin,Alpha-1-microglobulin,AMBP,259,HGNC:453,396,500,0.29386804688128043,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Pancreas,7918-114,"Amylase, alpha 1A",Alpha-amylase 1,AMY1A,276,HGNC:474,469,500,0.4440056614039165,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Pancreas,18917-53,Pancreatic alpha-amylase,Pancreatic alpha-amylase,AMY2A,279,HGNC:477,12,500,0.08030800480954871,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Pancreas,15556-49,Alpha-amylase 2B,Alpha-amylase 2B,AMY2B,280,HGNC:478,151,500,0.2902542933884728,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,4874-3,Angiogenin,Angiogenin,ANG,283,HGNC:483,361,500,-0.314591999103748,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,10391-1,ANGL3,Angiopoietin-related protein 3,ANGPTL3,27329,HGNC:491,89,500,0.11773635621652433,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,6371-50,ANGL7,Angiopoietin-related protein 7,ANGPTL7,10218,HGNC:24078,127,500,0.011095405949473768,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,7183-102,TD26,Angiopoietin-like protein 8,ANGPTL8,55908,HGNC:24933,38,500,0.044927969476461445,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Heart,15361-37,ANKR1,Ankyrin repeat domain-containing protein 1,ANKRD1,27063,HGNC:15819,4,500,-0.08312588927527943,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Intestine,17835-28,ANX13,Annexin A13,ANXA13,312,HGNC:536,312,500,-0.25439780596130135,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,2474-54,SAP,Serum amyloid P-component,APCS,325,HGNC:584,337,500,-0.2859514782677259,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,7210-25,Amyloid-like protein 1,Amyloid-like protein 1,APLP1,333,HGNC:597,262,500,-0.28508110704592965,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,2750-3,Apo A-I,Apolipoprotein A-I,APOA1,335,HGNC:600,27,500,-0.043092564400287935,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,7127-3,Apo A-II,Apolipoprotein A-II,APOA2,336,HGNC:601,56,500,0.11561635082798678,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Intestine,17685-9,Apo A-IV,Apolipoprotein A-IV,APOA4,337,HGNC:602,469,500,-0.5429924823611995,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,15363-32,Apo A-V,Apolipoprotein A-V,APOA5,116519,HGNC:17288,133,500,0.1521922971840177,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,15364-101,Apo C-I,Apolipoprotein C-I,APOC1,341,HGNC:607,125,500,-0.1981306699974601,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,6350-43,Apo C-II,Apolipoprotein C-II,APOC2,344,HGNC:609,91,500,0.09407555433947055,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,6461-54,Apo C-III,Apolipoprotein C-III,APOC3,345,HGNC:610,38,500,0.0956698874296752,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,4712-28,Apo D,Apolipoprotein D,APOD,347,HGNC:612,41,500,-0.1817125847051336,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,12370-30,Apo F,Apolipoprotein F,APOF,319,HGNC:615,497,500,0.8698108773215535,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,11363-58,AQP4,Aquaporin-4,AQP4,361,HGNC:637,165,500,0.1326510774459483,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,12807-89,RHG30,Rho GTPase-activating protein 30,ARHGAP30,257106,HGNC:27414,148,500,-0.1467482020970987,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,9846-32,Rho-GDI beta,Rho GDP-dissociation inhibitor 2,ARHGDIB,397,HGNC:679,2,500,0.3386426554189489,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,12433-8,ARL11,ADP-ribosylation factor-like protein 11,ARL11,115761,HGNC:24046,57,500,-0.07772987863418426,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,12860-7,cAMP-regulated phosphoprotein 21,cAMP-regulated phosphoprotein 21,ARPP21,10777,HGNC:16968,192,500,0.13703168345283906,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,5452-71,ASGR1,Asialoglycoprotein receptor 1,ASGR1,432,HGNC:742,13,500,0.10039132141402983,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,9474-22,ASGR2,Asialoglycoprotein receptor 2,ASGR2,433,HGNC:743,38,500,0.007247815432244141,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,11241-8,ARLY,Argininosuccinate lyase,ASL,435,HGNC:746,462,500,-0.5479394176400217,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
